"","name","platform","year_of_release","genre","global_sales","critic_score","critic_count","user_score","user_count","rating"
"15","Kinect Adventures!","Xbox",2010,"Misc",21810000,61,45,63,106,"Everyone"
"17","Grand Theft Auto V","Playstation",2013,"Action",21040000,97,50,82,3994,"17+"
"18","Grand Theft Auto: San Andreas","Playstation",2004,"Action",20810000,95,80,90,1588,"17+"
"24","Grand Theft Auto V","Xbox",2013,"Action",16270000,97,58,81,3711,"17+"
"25","Grand Theft Auto: Vice City","Playstation",2002,"Action",16150000,95,62,87,730,"17+"
"30","Call of Duty: Modern Warfare 3","Xbox",2011,"Shooter",14730000,88,81,34,8713,"17+"
"33","Call of Duty: Black Ops","Xbox",2010,"Shooter",14610000,87,89,63,1454,"17+"
"35","Call of Duty: Black Ops II","Playstation",2012,"Shooter",13790000,83,21,53,922,"17+"
"36","Call of Duty: Black Ops II","Xbox",2012,"Shooter",13670000,83,73,48,2256,"17+"
"37","Call of Duty: Modern Warfare 2","Xbox",2009,"Shooter",13470000,94,100,63,2698,"17+"
"38","Call of Duty: Modern Warfare 3","Playstation",2011,"Shooter",13320000,88,39,32,5234,"17+"
"42","Call of Duty: Black Ops","Playstation",2010,"Shooter",12630000,88,58,64,1094,"17+"
"43","Grand Theft Auto V","Playstation",2014,"Action",12610000,97,66,83,2899,"17+"
"45","Halo 3","Xbox",2007,"Shooter",12120000,94,86,78,4100,"17+"
"49","Gran Turismo 4","Playstation",2004,"Racing",11660000,89,74,85,272,"Everyone"
"52","Grand Theft Auto IV","Xbox",2008,"Action",11010000,98,86,79,2951,"17+"
"55","Gran Turismo 5","Playstation",2010,"Racing",10700000,84,82,75,1112,"Everyone"
"56","Call of Duty: Modern Warfare 2","Playstation",2009,"Shooter",10600000,94,67,63,2073,"17+"
"58","Grand Theft Auto IV","Playstation",2008,"Action",10500000,98,64,75,2833,"17+"
"61","Call of Duty: Ghosts","Xbox",2013,"Shooter",10250000,73,29,26,2117,"17+"
"65","Halo: Reach","Xbox",2010,"Shooter",9860000,91,99,79,2045,"17+"
"67","Halo 4","Xbox",2012,"Shooter",9710000,87,87,70,3260,"17+"
"70","Call of Duty: Ghosts","Playstation",2013,"Shooter",9360000,71,10,26,1047,"17+"
"71","Call of Duty 4: Modern Warfare","Xbox",2007,"Shooter",9310000,94,70,84,1320,"17+"
"76","The Elder Scrolls V: Skyrim","Xbox",2011,"Role-Playing",8790000,96,89,84,3589,"17+"
"78","FIFA 16","Playstation",2015,"Sports",8570000,82,42,43,896,"Everyone"
"79","Halo 2","Xbox",2004,"Shooter",8490000,95,91,82,1218,"17+"
"82","FIFA Soccer 13","Playstation",2012,"Action",8160000,88,37,66,348,"Everyone"
"93","Call of Duty: Advanced Warfare","Playstation",2014,"Shooter",7660000,83,39,57,1443,"17+"
"95","FIFA 17","Playstation",2016,"Sports",7590000,85,41,50,398,"Everyone"
"101","Call of Duty: World at War","Xbox",2008,"Shooter",7380000,84,84,76,580,"17+"
"102","Battlefield 3","Xbox",2011,"Shooter",7320000,84,57,74,2142,"17+"
"103","Need for Speed Underground","Playstation",2003,"Racing",7200000,85,33,86,171,"Everyone"
"105","Battlefield 3","Playstation",2011,"Shooter",7170000,85,38,75,1761,"17+"
"106","Fallout 4","Playstation",2015,"Role-Playing",7160000,87,58,65,4228,"17+"
"114","Need for Speed Underground 2","Playstation",2004,"Racing",6900000,82,39,86,132,"Everyone"
"115","Medal of Honor: Frontline","Playstation",2002,"Shooter",6830000,88,29,85,135,"13+"
"118","Gears of War 2","Xbox",2008,"Shooter",6750000,93,90,77,2739,"17+"
"119","Uncharted 3: Drake's Deception","Playstation",2011,"Action",6740000,92,97,83,3712,"13+"
"121","Call of Duty 4: Modern Warfare","Playstation",2007,"Shooter",6680000,94,44,84,993,"17+"
"122","Uncharted 2: Among Thieves","Playstation",2009,"Action",6660000,96,105,88,5187,"13+"
"126","Red Dead Redemption","Playstation",2010,"Action",6490000,95,73,88,2456,"17+"
"127","FIFA 14","Playstation",2013,"Sports",6470000,86,37,43,576,"Everyone"
"128","Assassin's Creed III","Playstation",2012,"Action",6450000,85,41,69,1307,"17+"
"131","The Elder Scrolls V: Skyrim","Playstation",2011,"Role-Playing",6410000,92,16,64,2527,"17+"
"133","Kingdom Hearts","Playstation",2002,"Role-Playing",6400000,85,46,88,597,"Everyone"
"135","Halo 3: ODST","Xbox",2009,"Shooter",6340000,83,94,71,1163,"17+"
"136","Red Dead Redemption","Xbox",2010,"Action",6320000,95,96,90,2316,"17+"
"141","Gears of War 3","Xbox",2011,"Shooter",6210000,91,96,78,1504,"17+"
"142","Kinect Sports","Xbox",2010,"Sports",6190000,73,51,74,95,"10+"
"143","Gears of War","Xbox",2006,"Shooter",6090000,94,88,83,2295,"17+"
"144","FIFA 15","Playstation",2014,"Sports",6080000,82,47,57,988,"Everyone"
"148","Metal Gear Solid 4: Guns of the Patriots","Playstation",2008,"Action",5990000,94,82,87,3558,"17+"
"149","Final Fantasy XII","Playstation",2006,"Role-Playing",5950000,92,64,76,972,"13+"
"150","The Last of Us","Playstation",2013,"Action",5870000,95,98,91,8003,"17+"
"151","LittleBigPlanet","Playstation",2008,"Platform",5820000,95,85,68,5311,"Everyone"
"155","Destiny","Playstation",2014,"Shooter",5640000,76,95,61,5380,"13+"
"160","Assassin's Creed II","Playstation",2009,"Action",5550000,91,70,86,1202,"17+"
"161","Assassin's Creed","Xbox",2007,"Adventure",5540000,81,77,77,1074,"17+"
"162","Forza Motorsport 3","Xbox",2009,"Racing",5490000,92,90,80,516,"Everyone"
"165","Batman: Arkham City","Playstation",2011,"Action",5480000,96,42,86,2162,"13+"
"166","Grand Theft Auto V","Xbox",2014,"Action",5480000,97,14,79,764,"17+"
"171","Call of Duty: World at War","Playstation",2008,"Shooter",5390000,85,45,76,409,"17+"
"172","Uncharted 4: A Thief's End","Playstation",2016,"Shooter",5380000,93,113,79,7064,"13+"
"174","Final Fantasy XIII","Playstation",2009,"Role-Playing",5330000,83,83,73,2483,"13+"
"177","Assassin's Creed III","Xbox",2012,"Action",5290000,84,61,67,1196,"17+"
"178","Final Fantasy X-2","Playstation",2003,"Role-Playing",5290000,85,45,66,400,"13+"
"180","Call of Duty: Advanced Warfare","Xbox",2014,"Shooter",5270000,81,53,54,898,"17+"
"182","Assassin's Creed II","Xbox",2009,"Action",5260000,90,82,88,1305,"17+"
"187","Dragon Quest VIII: Journey of the Cursed King","Playstation",2004,"Role-Playing",5210000,89,63,88,245,"13+"
"191","FIFA Soccer 13","Xbox",2012,"Action",5160000,90,48,61,403,"Everyone"
"194","Medal of Honor: Rising Sun","Playstation",2003,"Shooter",5130000,68,30,76,100,"13+"
"197","Guitar Hero II","Playstation",2006,"Misc",5120000,92,69,85,112,"13+"
"198","Fable III","Xbox",2010,"Role-Playing",5100000,80,88,65,604,"17+"
"200","Resident Evil 5","Playstation",2009,"Action",5090000,84,76,75,667,"17+"
"203","FIFA Soccer 11","Playstation",2010,"Sports",5070000,89,51,80,233,"Everyone"
"209","Guitar Hero III: Legends of Rock","Playstation",2007,"Misc",4980000,82,24,82,46,"13+"
"212","Fallout 3","Xbox",2008,"Role-Playing",4930000,93,84,85,1655,"17+"
"213","Uncharted: Drake's Fortune","Playstation",2007,"Action",4920000,88,66,81,2306,"13+"
"214","Madden NFL 06","Playstation",2005,"Sports",4910000,88,29,80,121,"Everyone"
"220","Assassin's Creed","Playstation",2007,"Adventure",4820000,81,40,73,769,"17+"
"221","God of War III","Playstation",2010,"Action",4800000,92,101,87,2633,"17+"
"225","Batman: Arkham City","Xbox",2011,"Action",4730000,94,87,87,1472,"13+"
"229","The Lord of the Rings: The Two Towers","Playstation",2002,"Action",4670000,82,32,82,78,"13+"
"232","Uncharted: The Nathan Drake Collection","Playstation",2015,"Action",4620000,86,78,81,1264,"13+"
"237","Forza Motorsport 4","Xbox",2011,"Racing",4570000,91,83,82,617,"Everyone"
"239","Madden NFL 2005","Playstation",2004,"Sports",4530000,91,30,79,78,"Everyone"
"240","Guitar Hero III: Legends of Rock","Xbox",2007,"Misc",4530000,85,69,79,165,"13+"
"242","Madden NFL 07","Playstation",2006,"Sports",4490000,84,29,82,39,"Everyone"
"243","Halo 5: Guardians","Xbox",2015,"Shooter",4480000,84,101,64,2438,"13+"
"244","Spider-Man: The Movie","Playstation",2002,"Action",4480000,76,25,79,41,"Everyone"
"246","Call of Duty: Infinite Warfare","Playstation",2016,"Shooter",4460000,77,82,34,1129,"17+"
"247","God of War","Playstation",2005,"Action",4450000,94,75,89,997,"17+"
"251","Winning Eleven: Pro Evolution Soccer 2007","Playstation",2006,"Sports",4390000,86,19,89,33,"Everyone"
"252","The Elder Scrolls IV: Oblivion","Xbox",2006,"Role-Playing",4380000,94,90,87,1109,"17+"
"254","Need for Speed: Most Wanted","Playstation",2005,"Racing",4370000,82,36,91,137,"13+"
"257","Resistance: Fall of Man","Playstation",2006,"Shooter",4340000,86,70,81,715,"17+"
